Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
2459972406332406950, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 25, 5.6044e-06, 7.6076e-06
2961165628447237855, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 27, 3.056e-06, 9.13302e-06
9000030864988401443, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 28, 8.13151e-06, 4.51734e-06
5198441393960611239, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 31, 2.19397e-06, 1.11066e-05
8724818582008887788, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 32, 1.40015e-06, 6.90635e-06
177760270794647278, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 35, 1.71861e-06, 1.0701e-05
2515023101371660712, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 28, 1.75453e-06, 8.91683e-06
6826448667590053979, 5000, 1.0e-09, 2.0e-07, -0.0001, 4, 8, 1.54761e-06, 1.69559e-06
4349237121877271607, 5000, 1.0e-09, 1.0e-07, -0.0001, 3, 12, 7.24667e-07, 8.66977e-06
8400846385267036159, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 37, 2.64207e-06, 1.50473e-05
41717329613847784, 5000, 3.0e-09, 6.0e-07, -0.001, 10, 25, 1.37262e-06, 2.68067e-06
1230501179254902935, 5000, 3.0e-09, 6.0e-07, -0.001, 18, 31, 4.87005e-06, 5.56726e-06
6854144136350790846, 5000, 3.0e-09, 6.0e-07, -0.001, 18, 28, 3.74471e-06, 6.32289e-06
4503961623023598794, 5000, 3.0e-09, 6.0e-07, -0.001, 16, 28, 2.16968e-06, 5.91541e-06
4748723631983816593, 5000, 3.0e-09, 6.0e-07, -0.001, 15, 20, 6.48992e-06, 9.07396e-06
4099000481055217359, 5000, 3.0e-09, 6.0e-07, -0.001, 10, 21, 1.57235e-06, 3.60237e-06
5697610236244713664, 5000, 3.0e-09, 6.0e-07, -0.001, 18, 29, 8.64749e-06, 3.94639e-06
8660277409202553828, 5000, 3.0e-09, 6.0e-07, -0.001, 16, 32, 1.1159e-05, 4.24575e-06
682534942181031619, 5000, 3.0e-09, 6.0e-07, -0.001, 17, 22, 4.75567e-06, 6.23398e-06
6173477534856929632, 5000, 1.0e-09, 2.0e-07, -0.0001, 5, 11, 1.7636e-06, 6.03752e-06
1971327755864355272, 5000, 3.0e-09, 6.0e-07, -0.001, 17, 25, 1.21022e-05, 4.23235e-06
8501612160402871247, 5000, 3.0e-09, 6.0e-07, -0.001, 10, 25, 7.4391e-07, 2.12708e-06
